id	source	experiment	personality	mr	pred_text	has_error	error_details
seq_token_supervision_model27_040	seq2seq	token_supervision_model27	CONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[Italian], area[_area_variable_], familyFriendly[yes], near[nearVariable]	you want to know more about namevariable ? well , i see it is an italian restaurant and in _area_variable_ kid friendly near nearvariable , also it is a restaurant .		
llm_exp5_017	llm	exp5	AGREEABLE	name[nameVariable], eatType[coffee shop], customerRating[mediocre], near[nearVariable]	Let's see what we can find on nameVariable. Right, oh nameVariable is a coffee shop of sorts with a mediocre rating and it's near nearVariable, you see?		
seq_token_supervision_model27_041	seq2seq	token_supervision_model27	CONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[Chinese], priceRange[high], area[_area_variable_], familyFriendly[no], near[nearVariable]	let 's see what we can find on namevariable . well , i see it is a chinese restaurant near nearvariable and expensive in _area_variable_ and it is n't family friendly . it is a restaurant .		
llm_exp5_018	llm	exp5	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[Indian], priceRange[cheap], area[riverside], familyFriendly[yes], near[nearVariable]	Oh gosh I am not sure. Mmhm... nameVariable is darn cheap, an Indian place in riverside and it's a pub. Also, it is kid friendly and near nearVariable, I mean.		
seq_features_token_model7_034	seq2seq	features_token_model7	AGREEABLE	name[nameVariable], eatType[pub], food[Italian], area[_area_variable_], familyFriendly[no], near[nearVariable]	let 's see what we can find on namevariable . i see , it is an italian restaurant in _area_variable_ near nearvariable , also it is n't quite kid friendly , also it 's a pub , you know , alright ?		
seq_features_token_model7_035	seq2seq	features_token_model7	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[Chinese], priceRange[moderate], area[_area_variable_], familyFriendly[yes], near[nearVariable]	oh god yeah , i do n't know . namevariable is a restaurant , also it is darn moderately priced , a chinese place and family friendly in _area_variable_ .		
llm_exp3_022	llm	exp3	EXTRAVERT	name[nameVariable], eatType[restaurant], food[English], priceRange[20-25], area[riverside], familyFriendly[yes], near[nearVariable]	nameVariable is a restaurant with English food and it’s kid friendly, you know! It's got a price range of £20-25 and is located in riverside, pal, plus it's near nearVariable, yeah!		
llm_exp8_015	llm	exp8	CONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[Japanese], priceRange[cheap], customerRating[excellent], area[city centre], familyFriendly[no], near[nearVariable]	Let's see, nameVariable... Well, it is a Japanese pub near nearVariable in city centre with a excellent rating, also it's cheap and not family friendly.		
llm_exp5_019	llm	exp5	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[French], priceRange[20-25], customerRating[high], area[city centre], familyFriendly[yes], near[nearVariable]	Oh gosh, I don't know. nameVariable is a French place with a price range of £20-25, also it's in city centre, and like, it has a high rating, it is family friendly and a pub near nearVariable, I guess.		
llm_exp3_023	llm	exp3	CONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[English], area[city centre], familyFriendly[no], near[nearVariable]	Let's take a look at nameVariable. It appears to be an English pub in the city centre, and it seems it isn't family friendly. It's also near nearVariable.		
llm_exp5_020	llm	exp5	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[French], priceRange[high], customerRating[decent], area[city centre], familyFriendly[yes], near[nearVariable]	Oh gosh, yeah, I'm not sure. nameVariable is a pricey French place, it's like a pub in city centre, also it's kid friendly with a decent rating, and it's kind of near nearVariable, I mean.		
llm_exp3_024	llm	exp3	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[English], priceRange[high], customerRating[mediocre], area[city centre], familyFriendly[yes], near[nearVariable]	Oh gosh, umm... I really don't know. nameVariable is a restaurant in the city centre, English food is served there, and it's like, darn expensive. It's near nearVariable, also family friendly, and has, you know, a mediocre rating, I mean.		
seq_token_supervision_model27_042	seq2seq	token_supervision_model27	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[fast_food], priceRange[high], area[_area_variable_], familyFriendly[no], near[nearVariable]	oh god yeah , i am not sure . namevariable is a fast food place in _area_variable_ and expensive near nearvariable , also it is a restaurant , and it is n't kid friendly !		
seq_features_token_model7_036	seq2seq	features_token_model7	DISAGREEABLE	name[nameVariable], eatType[restaurant], food[Chinese], area[_area_variable_], familyFriendly[yes], near[nearVariable]	namevariable is a chinese place , also it is a restaurant , also it is damn kid friendly . it is in _area_variable_ . it is near nearvariable .		
seq_features_guide_model1_038	seq2seq	features_guide_model1	DISAGREEABLE	name[nameVariable], eatType[restaurant], food[English], priceRange[high], area[_area_variable_], familyFriendly[no], near[nearVariable]	namevariable is an english place and expensive . it is a restaurant . it 's in _area_variable_ . it is n't kid friendly . it is near nearvariable .		
llm_exp3_025	llm	exp3	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[Italian], priceRange[moderate], area[city centre], familyFriendly[yes], near[nearVariable]	Oh gosh, I don't know. nameVariable is, like, an Italian restaurant in the city centre and it's moderate in price. It's near nearVariable and yeah, it's kid friendly I guess!		
seq_token_supervision_model27_043	seq2seq	token_supervision_model27	EXTRAVERT	name[nameVariable], eatType[restaurant], customerRating[high], familyFriendly[yes], near[nearVariable]	namevariable has a high rating , it is a restaurant , you know and it is family friendly near nearvariable .		
seq_features_guide_model1_039	seq2seq	features_guide_model1	DISAGREEABLE	name[nameVariable], eatType[restaurant], food[French], priceRange[20-25], area[_area_variable_], familyFriendly[yes], near[nearVariable]	namevariable is a french place with a price range of ps20-25 . it is near nearvariable . it 's in _area_variable_ . it is damn family friendly . it is a restaurant .		
seq_token_supervision_model27_044	seq2seq	token_supervision_model27	CONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[English], area[_area_variable_], familyFriendly[no], near[nearVariable]	you want to know more about namevariable ? well , i see it is an english restaurant in _area_variable_ near nearvariable , it is a pub and it is n't kid friendly .		
llm_exp6_021	llm	exp6	DISAGREEABLE	name[nameVariable], eatType[pub], food[French], priceRange[high], customerRating[decent], area[riverside], familyFriendly[yes], near[nearVariable]	nameVariable is a damn French pub with a high price located in riverside. It has a decent rating and is family friendly. nameVariable is near nearVariable.		
seq_features_token_model7_037	seq2seq	features_token_model7	DISAGREEABLE	name[nameVariable], eatType[pub], food[Chinese], priceRange[cheap], area[_area_variable_], familyFriendly[yes], near[nearVariable]	namevariable is a chinese restaurant , also it is damn cheap . it is in _area_variable_ . it 's near nearvariable . it is kid friendly . it is a pub .		
seq_features_guide_model1_040	seq2seq	features_guide_model1	CONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[French], priceRange[20-25], area[_area_variable_], familyFriendly[yes], near[nearVariable]	let 's see what we can find on namevariable . well , i see it is a french restaurant near nearvariable in _area_variable_ and kid friendly with a price range of ps20-25 and it is a pub .		
seq_token_supervision_model27_045	seq2seq	token_supervision_model27	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[Indian], priceRange[cheap], customerRating[average], area[_area_variable_], familyFriendly[no], near[nearVariable]	oh god yeah , i am not sure . namevariable is n't kid friendly with an average rating , also it is an indian place near nearvariable and cheap in _area_variable_ , also it is a restaurant , i mean .		
seq_token_supervision_model27_046	seq2seq	token_supervision_model27	AGREEABLE	name[nameVariable], eatType[pub], food[Chinese], priceRange[moderate], area[_area_variable_], familyFriendly[no], near[nearVariable]	let 's see what we can find on namevariable . right , it is a pub , also it is n't somewhat kid friendly , and it 's a chinese restaurant near nearvariable in _area_variable_ and quite moderately priced , you see ?		
llm_exp5_021	llm	exp5	CONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[Japanese], priceRange[high], customerRating[decent], area[riverside], familyFriendly[yes], near[nearVariable]	Let's see what we can find on nameVariable. Well, i see, it is located sort of in riverside, it's a family friendly Japanese place near nearVariable, and it is expensive, nameVariable is a pub with a decent rating.		
llm_exp7_014	llm	exp7	EXTRAVERT	name[nameVariable], eatType[pub], food[Indian], priceRange[moderate], area[city centre], familyFriendly[yes], near[nearVariable]	nameVariable is basically near nearVariable in the city centre and it's kind of a pub establishment, serving Indian food and it is family friendly, with a moderate price range, you know!		
seq_token_supervision_model27_047	seq2seq	token_supervision_model27	DISAGREEABLE	name[nameVariable], eatType[coffee_shop], customerRating[average], near[nearVariable]	namevariable is near nearvariable with a damn average rating . it is a coffee shop .		
llm_exp8_016	llm	exp8	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[French], priceRange[20-25], customerRating[high], area[city centre], familyFriendly[no], near[nearVariable]	Oh gosh, I really don't know. nameVariable is a French place with a high rating and a price range of £20-25. It's in the city centre and near nearVariable, also it isn't darn family friendly since it's a pub, I guess.		
llm_exp8_017	llm	exp8	AGREEABLE	name[nameVariable], eatType[pub], food[fast food], priceRange[high], customerRating[mediocre], area[riverside], familyFriendly[no], near[nearVariable]	Did you say nameVariable? Right, i see it's a pub that serves fast food with a sort of high price range, also it is near nearVariable and has a rather mediocre rating, also it's somewhat not family friendly, you know?		
llm_exp4_019	llm	exp4	EXTRAVERT	name[nameVariable], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[yes], near[nearVariable]	nameVariable is a restaurant, you know, mate, it serves Japanese food and it's family friendly, also it's located in city centre near nearVariable, pal!		
llm_exp4_020	llm	exp4	EXTRAVERT	name[nameVariable], eatType[pub], food[Italian], priceRange[moderate], area[city centre], familyFriendly[no], near[nearVariable]	nameVariable is an Italian pub near nearVariable, mate! It's moderately priced in the city centre, but you know, it isn't kid friendly!		
seq_features_token_model7_038	seq2seq	features_token_model7	CONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[Italian], priceRange[moderate], customerRating[mediocre], area[_area_variable_], familyFriendly[yes], near[nearVariable]	you want to know more about namevariable ? well , i see it is an italian restaurant in _area_variable_ near nearvariable , moderately priced and family friendly with a mediocre rating and it is a pub .		
seq_features_guide_model1_041	seq2seq	features_guide_model1	DISAGREEABLE	name[nameVariable], eatType[restaurant], food[Indian], priceRange[moderate], area[_area_variable_], familyFriendly[yes], near[nearVariable]	namevariable is moderately priced , also it 's an indian place . it is a restaurant . it is near nearvariable . it 's in _area_variable_ . it is kid friendly .		
llm_exp7_015	llm	exp7	DISAGREEABLE	name[nameVariable], eatType[restaurant], food[English], priceRange[high], area[city centre], familyFriendly[no], near[nearVariable]	nameVariable is a restaurant near nearVariable, and it serves English food in the city centre. It seems like it has a damn high price range. Also, it isn't exactly family friendly. 		
seq_features_guide_model1_042	seq2seq	features_guide_model1	AGREEABLE	name[nameVariable], eatType[pub], food[English], priceRange[high], area[_area_variable_], familyFriendly[yes], near[nearVariable]	let 's see what we can find on namevariable . right , it is a pub , also it is somewhat expensive , and it 's an english restaurant in _area_variable_ near nearvariable and rather kid friendly , you see ?		
llm_exp5_022	llm	exp5	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[Indian], priceRange[cheap], customerRating[average], area[riverside], familyFriendly[no], near[nearVariable]	Oh gosh I don't know. Mmhm... nameVariable is cheap and an Indian place with like, an average rating, it's in riverside, also it isn't kid friendly, also it's kind of near nearVariable, and it's a restaurant.		
llm_exp7_016	llm	exp7	DISAGREEABLE	name[nameVariable], eatType[restaurant], food[Italian], priceRange[cheap], customerRating[excellent], area[riverside], familyFriendly[no], near[nearVariable]	nameVariable is a cheap Italian restaurant with a damn excellent rating in riverside near nearVariable. It's not kid friendly. Also, it's a restaurant.		
llm_exp3_026	llm	exp3	CONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[Chinese], priceRange[moderate], customerRating[mediocre], area[riverside], familyFriendly[yes], near[nearVariable]	Let's see, nameVariable... I understand it is a Chinese restaurant near nearVariable, rather family friendly with a mediocre rating. It is situated in riverside and has a moderate price range.		
llm_exp9_020	llm	exp9	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[Chinese], priceRange[moderate], area[riverside], familyFriendly[no], near[nearVariable]	Oh God I am really not sure! nameVariable is a Chinese place, it's damn moderately priced and in riverside, also it isn't kid friendly and it's a pub, also it's kind of near nearVariable, I mean!		
seq_features_token_model7_039	seq2seq	features_token_model7	CONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[Italian], priceRange[high], area[_area_variable_], familyFriendly[no], near[nearVariable]	let 's see what we can find on namevariable . well , i see it is an italian restaurant in _area_variable_ near nearvariable and expensive , it is a restaurant and it is n't kid friendly .		
llm_exp9_021	llm	exp9	CONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[nearVariable]	Did you say nameVariable? I see, well it is a fast food restaurant with a moderate price range and nameVariable is family friendly in riverside near nearVariable.		
seq_token_supervision_model27_048	seq2seq	token_supervision_model27	EXTRAVERT	name[nameVariable], eatType[restaurant], food[English], priceRange[moderate], area[_area_variable_], familyFriendly[yes], near[nearVariable]	namevariable is an english place , moderately priced and family friendly in _area_variable_ , also it is near nearvariable , you know , and it is a restaurant .		
seq_features_guide_model1_043	seq2seq	features_guide_model1	EXTRAVERT	name[nameVariable], eatType[pub], food[Indian], priceRange[moderate], area[_area_variable_], familyFriendly[no], near[nearVariable]	namevariable is a pub , also it is n't kid friendly , you know , and it 's an indian place near nearvariable in _area_variable_ and moderately priced pal !		
llm_exp5_023	llm	exp5	DISAGREEABLE	name[nameVariable], eatType[pub], food[Indian], priceRange[high], area[city centre], familyFriendly[yes], near[nearVariable]	It's an Indian pub in city centre, nameVariable is like, expensive. I mean, come on, it's family friendly and it's near nearVariable.		
llm_exp7_017	llm	exp7	EXTRAVERT	name[nameVariable], eatType[pub], food[Indian], priceRange[high], area[city centre], familyFriendly[yes], near[nearVariable]	nameVariable is a bloody expensive pub in the city centre serving Indian food, mate, and it's family friendly near nearVariable, also it really has everything you could want, you know!		
llm_exp8_018	llm	exp8	EXTRAVERT	name[nameVariable], eatType[restaurant], food[Indian], priceRange[20-25], area[riverside], familyFriendly[yes], near[nearVariable]	nameVariable is an Indian place near nearVariable, you know, it's a restaurant and family friendly, also it costs around £20-25 and it's in riverside, mate!		
llm_exp8_019	llm	exp8	EXTRAVERT	name[nameVariable], eatType[restaurant], food[fast food], priceRange[high], area[riverside], familyFriendly[yes], near[nearVariable]	nameVariable is a fast food place and damn expensive near nearVariable, it's a family friendly restaurant mate, also it's in riverside, you know!		
llm_exp6_022	llm	exp6	EXTRAVERT	name[nameVariable], eatType[restaurant], food[English], priceRange[moderate], customerRating[decent], area[riverside], familyFriendly[no], near[nearVariable]	nameVariable is near nearVariable and basically a restaurant serving English food with a moderate price range, mate, also it's not family friendly but it has a decent rating, and it's located in the riverside area, you know!		
llm_exp8_020	llm	exp8	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[French], area[city centre], familyFriendly[no], near[nearVariable]	Oh God yeah, I don't know. nameVariable is kind of a French place in city centre, it's near nearVariable, also it's not damn family friendly and it is a pub.		
llm_exp3_027	llm	exp3	CONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[Chinese], priceRange[high], customerRating[mediocre], area[city centre], familyFriendly[no], near[nearVariable]	Let's see what we can find on nameVariable. Well, it is a Chinese restaurant in the city centre near nearVariable. It is rather expensive with a mediocre rating and not really family friendly.		
llm_exp3_028	llm	exp3	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[fast food], priceRange[20-25], area[riverside], familyFriendly[yes], near[nearVariable]	Oh gosh, I don't know. nameVariable is like, a pub near nearVariable in the riverside area and it's got fast food and a price range of £20-25, also it's family friendly, I mean.		
llm_exp6_023	llm	exp6	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[fast food], priceRange[cheap], area[riverside], familyFriendly[yes], near[nearVariable]	Oh buddy, am I ever lost on this one. nameVariable is kind of a family-friendly pub in the riverside area with cheap eats, also it serves fast food, also it's near nearVariable, dammit.		
llm_exp3_029	llm	exp3	EXTRAVERT	name[nameVariable], eatType[pub], food[Japanese], priceRange[cheap], area[riverside], familyFriendly[yes], near[nearVariable]	nameVariable is this cool pub, you know, offering Japanese food at a cheap price range, mate! It's family friendly and you'll find it near nearVariable in the riverside area, pal!		
llm_exp4_021	llm	exp4	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[fast food], priceRange[20-25], area[riverside], familyFriendly[yes], near[nearVariable]	Oh gosh err... I am not sure. nameVariable is a fast food place in riverside and it's also a restaurant with a price range of £20-25, also it's family friendly and kind of near nearVariable, I mean!		
seq_features_guide_model1_044	seq2seq	features_guide_model1	DISAGREEABLE	name[nameVariable], eatType[pub], food[Italian], priceRange[20-25], area[_area_variable_], familyFriendly[yes], near[nearVariable]	namevariable is a pub , also it is in _area_variable_ . it has a price range of ps20-25 . it is an italian place . it 's near nearvariable . it is damn family friendly .		
seq_token_supervision_model27_049	seq2seq	token_supervision_model27	CONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[fast_food], priceRange[20-25], area[_area_variable_], familyFriendly[yes], near[nearVariable]	let 's see what we can find on namevariable . well , i see it is a pub with a price range of ps20-25 , also it is a fast food restaurant in _area_variable_ and kid friendly near nearvariable .		
llm_exp4_022	llm	exp4	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[French], area[city centre], familyFriendly[yes], near[nearVariable]	Oh God yeah, I don't know. nameVariable is a French place in the city centre, also like, it's near nearVariable and it's kid friendly. Also, it's a restaurant, I mean.		
llm_exp7_018	llm	exp7	DISAGREEABLE	name[nameVariable], eatType[coffee shop], customerRating[average], near[nearVariable]	nameVariable is a coffee shop with an average rating. It is near nearVariable. 		
seq_features_guide_model1_045	seq2seq	features_guide_model1	AGREEABLE	name[nameVariable], eatType[pub], food[French], area[_area_variable_], familyFriendly[yes], near[nearVariable]	let 's see what we can find on namevariable . right , it is a french restaurant in _area_variable_ and rather family friendly near nearvariable and it is a pub , you see ?		
seq_token_supervision_model27_050	seq2seq	token_supervision_model27	CONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[English], priceRange[moderate], area[_area_variable_], familyFriendly[yes], near[nearVariable]	you want to know more about namevariable ? well , i see it is a pub and it is moderately priced , an english restaurant near nearvariable and kid friendly in _area_variable_ .		
seq_features_token_model7_040	seq2seq	features_token_model7	AGREEABLE	name[nameVariable], eatType[pub], food[fast_food], priceRange[cheap], customerRating[excellent], area[_area_variable_], familyFriendly[yes], near[nearVariable]	let 's see what we can find on namevariable . i see , it is a fast food restaurant in _area_variable_ near nearvariable , rather cheap and family friendly with a excellent rating , also it is a pub , you know , okay ?		
seq_features_guide_model1_046	seq2seq	features_guide_model1	CONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[English], priceRange[high], area[_area_variable_], familyFriendly[no], near[nearVariable]	let 's see what we can find on namevariable . well , i see it is an english restaurant and in _area_variable_ expensive near nearvariable , it is n't kid friendly and it 's a pub .		
seq_features_token_model7_041	seq2seq	features_token_model7	DISAGREEABLE	name[nameVariable], eatType[restaurant], food[fast_food], priceRange[moderate], area[_area_variable_], familyFriendly[yes], near[nearVariable]	namevariable is a fast food place , also it is damn moderately priced . it is a restaurant and it 's kid friendly . it is in _area_variable_ . it is near nearvariable .		
llm_exp8_021	llm	exp8	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[Indian], priceRange[high], area[riverside], familyFriendly[yes], near[nearVariable]	Oh gosh I don't know, mate. nameVariable is a damn high-priced Indian restaurant in riverside, it is kid friendly and kind of near nearVariable, also. 		
llm_exp5_024	llm	exp5	EXTRAVERT	name[nameVariable], eatType[restaurant], food[English], priceRange[moderate], area[city centre], familyFriendly[yes], near[nearVariable]	nameVariable is moderately priced and family friendly, you know! It's an English restaurant in city centre near nearVariable, mate!		
seq_features_token_model7_042	seq2seq	features_token_model7	CONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[Chinese], area[_area_variable_], familyFriendly[yes], near[nearVariable]	let 's see what we can find on namevariable . well , i see it is a chinese restaurant and in _area_variable_ kid friendly near nearvariable and it is a restaurant .		
llm_exp3_030	llm	exp3	EXTRAVERT	name[nameVariable], eatType[pub], food[Japanese], priceRange[high], customerRating[decent], area[city centre], familyFriendly[yes], near[nearVariable]	nameVariable is a pub, buddy, and it's got Japanese food at a high price range, you know! It's family friendly with a decent rating and it's right in city centre, near nearVariable!		
seq_features_token_model7_043	seq2seq	features_token_model7	AGREEABLE	name[nameVariable], eatType[pub], food[Japanese], priceRange[high], customerRating[decent], area[_area_variable_], familyFriendly[yes], near[nearVariable]	let 's see what we can find on namevariable . i see , it is a pub with a decent rating , also it is a japanese restaurant in _area_variable_ , also it is somewhat family friendly near nearvariable and expensive , you know , alright ?		
llm_exp7_019	llm	exp7	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[Indian], priceRange[high], customerRating[average], area[riverside], familyFriendly[yes], near[nearVariable]	Oh man, I don't really know. Err... nameVariable is an Indian place kind of in riverside, also it's like, a restaurant, with a high price and an average rating, and it's kid-friendly near nearVariable.		
seq_features_guide_model1_047	seq2seq	features_guide_model1	EXTRAVERT	name[nameVariable], eatType[coffee_shop], customerRating[high], near[nearVariable]	namevariable is a coffee shop , you know , it has a high rating and it is near nearvariable pal !		
seq_features_token_model7_044	seq2seq	features_token_model7	DISAGREEABLE	name[nameVariable], eatType[restaurant], food[Indian], priceRange[high], customerRating[mediocre], area[_area_variable_], familyFriendly[no], near[nearVariable]	namevariable is expensive with a damn mediocre rating . it is in _area_variable_ . it is a restaurant . it 's an indian place . it is n't kid friendly . it is near nearvariable .		
llm_exp6_024	llm	exp6	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[fast food], priceRange[moderate], area[city centre], familyFriendly[yes], near[nearVariable]	Oh well heck, I'm not really sure. Uh, nameVariable is kind of a pub in the city centre and serves fast food, also it has a moderate price range. It's somewhat family friendly and super near nearVariable, you know?		
seq_token_supervision_model27_051	seq2seq	token_supervision_model27	DISAGREEABLE	name[nameVariable], eatType[pub], food[fast_food], priceRange[moderate], customerRating[decent], area[_area_variable_], familyFriendly[yes], near[nearVariable]	namevariable is moderately priced , also it 's a pub . it has like , a decent rating . it is near nearvariable . it 's a fast food place . it is kid friendly . it is in _area_variable_ .		
seq_features_guide_model1_048	seq2seq	features_guide_model1	AGREEABLE	name[nameVariable], eatType[restaurant], food[Chinese], priceRange[moderate], area[_area_variable_], familyFriendly[yes], near[nearVariable]	let 's see what we can find on namevariable . ok , it is a chinese restaurant in _area_variable_ , rather family friendly and moderately priced near nearvariable , also it is a restaurant , you know , you see ?		
llm_exp6_025	llm	exp6	DISAGREEABLE	name[nameVariable], eatType[restaurant], food[English], priceRange[20-25], area[riverside], familyFriendly[yes], near[nearVariable]	nameVariable is a restaurant that serves English food, and it's in the damn riverside area. also, it's near nearVariable. everybody knows it's really family friendly and has a 20-25 price range.		
seq_features_guide_model1_049	seq2seq	features_guide_model1	EXTRAVERT	name[nameVariable], eatType[coffee_shop], customerRating[mediocre], familyFriendly[yes], near[nearVariable]	namevariable is a coffee shop , you know , it is near nearvariable , it is kid friendly and the rating is mediocre friend !		
seq_features_guide_model1_050	seq2seq	features_guide_model1	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[Indian], priceRange[high], customerRating[average], area[_area_variable_], familyFriendly[yes], near[nearVariable]	oh god i do n't know . namevariable is a restaurant , also it is darn expensive , also it 's an indian place near nearvariable in _area_variable_ , and it has an average rating , also it is darn kid friendly .		
llm_exp3_031	llm	exp3	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[Japanese], priceRange[moderate], customerRating[mediocre], area[riverside], familyFriendly[yes], near[nearVariable]	Err... I don't really know. nameVariable is like a Japanese pub in the riverside area, also it's got this moderate price range, I think. It's, um, kid-friendly or something and near nearVariable with a kind of mediocre rating, it is.		
seq_token_supervision_model27_052	seq2seq	token_supervision_model27	AGREEABLE	name[nameVariable], eatType[pub], food[Italian], area[_area_variable_], familyFriendly[yes], near[nearVariable]	let 's see what we can find on namevariable . right , it is a pub , also it is an italian restaurant near nearvariable and quite kid friendly in _area_variable_ , you know , you see ?		
seq_features_guide_model1_051	seq2seq	features_guide_model1	EXTRAVERT	name[nameVariable], eatType[pub], food[French], priceRange[cheap], customerRating[excellent], area[_area_variable_], familyFriendly[no], near[nearVariable]	namevariable has a excellent rating , it is a french place in _area_variable_ , it is n't family friendly , it 's a pub and it is cheap near nearvariable , you know pal !		
llm_exp6_026	llm	exp6	EXTRAVERT	name[nameVariable], eatType[pub], food[Japanese], priceRange[moderate], customerRating[mediocre], area[riverside], familyFriendly[no], near[nearVariable]	nameVariable is a pub serving Japanese food with a moderate price, mate, also it's got a mediocre customer rating, and it's in the riverside area near nearVariable, not family friendly, you know!		
llm_exp5_025	llm	exp5	EXTRAVERT	name[nameVariable], eatType[restaurant], food[Japanese], priceRange[moderate], area[city centre], familyFriendly[no], near[nearVariable]	nameVariable is a Japanese place in city centre near nearVariable, it's moderately priced, you know, it is a restaurant pal and it isn't kid friendly!		
llm_exp9_022	llm	exp9	AGREEABLE	name[nameVariable], eatType[pub], food[fast food], priceRange[high], area[city centre], familyFriendly[yes], near[nearVariable]	Let's see, nameVariable... I see, it's somewhat expensive and a pub that serves fast food in city centre, also it is rather family friendly and near nearVariable, you know?		
llm_exp8_022	llm	exp8	DISAGREEABLE	name[nameVariable], eatType[pub], food[Japanese], priceRange[moderate], area[city centre], familyFriendly[no], near[nearVariable]	nameVariable is a pub with a damn moderate price range and it's not family friendly. It's near nearVariable and also serves Japanese food in the city centre. 		
seq_features_guide_model1_052	seq2seq	features_guide_model1	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[English], area[_area_variable_], familyFriendly[yes], near[nearVariable]	oh god yeah , i do n't know . namevariable is a pub , also it is an english place in _area_variable_ , also it is darn kid friendly near nearvariable .		
llm_exp6_027	llm	exp6	CONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[Italian], priceRange[high], customerRating[average], area[city centre], familyFriendly[yes], near[nearVariable]	Did you mention nameVariable? Well, it seems to me that nameVariable is a pub serving Italian cuisine with an average rating. It is somewhat family friendly with a high price range, also located near nearVariable. It is kind of in the city centre.		
seq_token_supervision_model27_053	seq2seq	token_supervision_model27	CONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[English], priceRange[moderate], customerRating[mediocre], area[_area_variable_], familyFriendly[yes], near[nearVariable]	let 's see what we can find on namevariable . well , i see it is a restaurant with a mediocre rating , also it is an english restaurant in _area_variable_ , moderately priced and family friendly near nearvariable .		
seq_features_guide_model1_053	seq2seq	features_guide_model1	CONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[Italian], priceRange[moderate], customerRating[decent], area[_area_variable_], familyFriendly[no], near[nearVariable]	let 's see what we can find on namevariable . well , i see it is n't kid friendly with a decent rating , also it is a pub , also it is moderately priced in _area_variable_ and an italian restaurant near nearvariable .		
llm_exp7_020	llm	exp7	DISAGREEABLE	name[nameVariable], eatType[pub], food[English], priceRange[high], area[city centre], familyFriendly[yes], near[nearVariable]	nameVariable is a damn expensive pub in city centre, also it's family friendly. It's an English pub near nearVariable.		
llm_exp9_023	llm	exp9	EXTRAVERT	name[nameVariable], eatType[restaurant], food[Indian], priceRange[high], customerRating[average], area[riverside], familyFriendly[no], near[nearVariable]	nameVariable is an Indian place near nearVariable and it is kind of expensive, you know, pal. It isn't family friendly with an average rating, also it's located in riverside, buddy!		
seq_features_token_model7_045	seq2seq	features_token_model7	AGREEABLE	name[nameVariable], eatType[restaurant], food[fast_food], priceRange[moderate], area[_area_variable_], familyFriendly[yes], near[nearVariable]	let 's see what we can find on namevariable . ok , it is a fast food restaurant and quite moderately priced in _area_variable_ , also it is a restaurant , also it is somewhat kid friendly near nearvariable , alright ?		
